age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income_more50K
40-49,Private,200K-300K,Assoc-acdm,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
40-49,Private,100K-200K,Assoc-voc,>=10,Divorced,Sales,Unmarried,White,Female,35-40,United-States,0
30-39,Private,>300K,HS-grad,8--9,Never-married,Craft-repair,Not-in-family,White,Male,35-40,United-States,0
20-29,Private,100K-200K,HS-grad,8--9,Never-married,Adm-clerical,Not-in-family,Other,Female,35-40,United-States,0
<20,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>40,United-States,0
40-49,Private,<100K,HS-grad,8--9,Married-civ-spouse,Protective-serv,Husband,White,Male,35-40,United-States,0
50-59,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Adm-clerical,Husband,White,Male,>40,United-States,0
50-59,Private,200K-300K,7th-8th,<8,Widowed,Machine-op-inspct,Unmarried,Other,Female,35-40,Dominican-Republic,0
50-59,Private,100K-200K,Some-college,>=10,Widowed,Sales,Not-in-family,White,Female,35-40,United-States,0
20-29,Private,200K-300K,Bachelors,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,35-40,United-States,0
40-49,Private,100K-200K,Some-college,>=10,Never-married,Exec-managerial,Unmarried,White,Female,>40,United-States,0
30-39,Private,<100K,HS-grad,8--9,Married-civ-spouse,Transport-moving,Husband,White,Male,35-40,United-States,1
40-49,Private,<100K,Bachelors,>=10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,<35,Vietnam,0
30-39,Self-emp-not-inc,200K-300K,Some-college,>=10,Married-civ-spouse,Adm-clerical,Wife,White,Female,>40,United-States,1
50-59,Self-emp-not-inc,100K-200K,HS-grad,8--9,Married-civ-spouse,Farming-fishing,Husband,White,Male,>40,United-States,0
40-49,Self-emp-inc,100K-200K,Some-college,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,0
30-39,Self-emp-not-inc,<100K,HS-grad,8--9,Married-civ-spouse,Farming-fishing,Husband,White,Male,35-40,United-States,0
20-29,Self-emp-not-inc,100K-200K,HS-grad,8--9,Married-civ-spouse,Transport-moving,Husband,White,Male,35-40,United-States,0
50-59,Local-gov,>300K,Some-college,>=10,Widowed,Adm-clerical,Unmarried,White,Female,35-40,Mexico,0
50-59,Self-emp-not-inc,100K-200K,Bachelors,>=10,Married-civ-spouse,Farming-fishing,Husband,White,Male,<35,United-States,0
30-39,Private,100K-200K,Prof-school,>=10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,>40,United-States,1
20-29,Private,100K-200K,Bachelors,>=10,Never-married,Exec-managerial,Not-in-family,White,Female,<35,United-States,0
30-39,Private,100K-200K,HS-grad,8--9,Never-married,Adm-clerical,Not-in-family,White,Female,35-40,United-States,0
40-49,Private,<100K,Assoc-voc,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
30-39,Local-gov,>300K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,>40,United-States,1
>=60,Private,200K-300K,9th,<8,Divorced,Sales,Not-in-family,White,Male,<35,United-States,0
20-29,Private,<100K,Some-college,>=10,Never-married,Sales,Own-child,White,Male,>40,United-States,0
20-29,Private,<100K,Some-college,>=10,Never-married,Sales,Not-in-family,White,Male,>40,United-States,0
40-49,Private,<100K,Assoc-voc,>=10,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
50-59,Local-gov,<100K,HS-grad,8--9,Divorced,Adm-clerical,Not-in-family,White,Female,35-40,United-States,1
>=60,Private,<100K,Bachelors,>=10,Married-civ-spouse,Sales,Husband,White,Male,<35,United-States,1
30-39,Private,200K-300K,HS-grad,8--9,Divorced,Adm-clerical,Unmarried,White,Female,35-40,United-States,0
40-49,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
30-39,Private,>300K,10th,<8,Divorced,Craft-repair,Other-relative,Black,Male,35-40,United-States,0
>=60,Self-emp-inc,100K-200K,Some-college,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
>=60,Private,200K-300K,5th-6th,<8,Married-civ-spouse,Transport-moving,Husband,White,Male,35-40,United-States,0
30-39,Self-emp-not-inc,200K-300K,Prof-school,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,>40,United-States,1
40-49,Self-emp-not-inc,200K-300K,11th,<8,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,0
40-49,Private,100K-200K,Masters,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
40-49,Self-emp-inc,100K-200K,HS-grad,8--9,Married-civ-spouse,Sales,Husband,White,Male,>40,United-States,1
50-59,Private,100K-200K,5th-6th,<8,Married-civ-spouse,Craft-repair,Husband,White,Male,>40,Italy,0
20-29,Private,200K-300K,Some-college,>=10,Never-married,Tech-support,Not-in-family,White,Female,35-40,United-States,0
20-29,Private,<100K,Some-college,>=10,Married-civ-spouse,Sales,Husband,Black,Male,35-40,United-States,0
40-49,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35-40,United-States,0
30-39,Private,200K-300K,Prof-school,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>40,United-States,1
40-49,Private,<100K,Bachelors,>=10,Divorced,Sales,Unmarried,White,Male,>40,United-States,1
30-39,Private,200K-300K,HS-grad,8--9,Married-civ-spouse,Transport-moving,Husband,White,Male,>40,United-States,0
20-29,Private,100K-200K,Some-college,>=10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,<35,United-States,0
30-39,Private,<100K,Assoc-voc,>=10,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,35-40,United-States,0
20-29,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Craft-repair,Husband,Black,Male,35-40,Jamaica,1
20-29,Private,>300K,5th-6th,<8,Never-married,Handlers-cleaners,Not-in-family,White,Male,<35,Mexico,0
40-49,Private,<100K,11th,<8,Separated,Other-service,Unmarried,White,Female,35-40,United-States,0
50-59,Private,>300K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
20-29,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>40,United-States,0
50-59,Self-emp-not-inc,200K-300K,1st-4th,<8,Married-civ-spouse,Transport-moving,Husband,White,Male,<35,United-States,0
50-59,Self-emp-not-inc,>300K,HS-grad,8--9,Divorced,Sales,Not-in-family,White,Male,35-40,United-States,0
20-29,Private,100K-200K,HS-grad,8--9,Never-married,Handlers-cleaners,Not-in-family,White,Male,>40,United-States,0
30-39,Private,200K-300K,Assoc-acdm,>=10,Never-married,Prof-specialty,Unmarried,White,Female,35-40,United-States,0
40-49,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
50-59,Private,>300K,Bachelors,>=10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,35-40,United-States,1
20-29,Private,100K-200K,10th,<8,Never-married,Machine-op-inspct,Not-in-family,White,Male,35-40,Dominican-Republic,0
50-59,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
30-39,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
30-39,Self-emp-inc,100K-200K,Doctorate,>=10,Never-married,Prof-specialty,Own-child,White,Male,35-40,United-States,0
20-29,Private,100K-200K,Some-college,>=10,Never-married,Other-service,Own-child,White,Female,<35,United-States,0
30-39,Private,200K-300K,HS-grad,8--9,Divorced,Handlers-cleaners,Other-relative,White,Male,35-40,El-Salvador,0
30-39,Private,200K-300K,Some-college,>=10,Never-married,Sales,Other-relative,White,Female,35-40,United-States,0
40-49,State-gov,100K-200K,Prof-school,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,>40,United-States,1
>=60,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Transport-moving,Husband,White,Male,35-40,United-States,1
50-59,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Sales,Husband,Black,Male,>40,United-States,1
30-39,Private,<100K,Some-college,>=10,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,35-40,Japan,1
40-49,Private,>300K,1st-4th,<8,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,35-40,Mexico,0
50-59,Private,200K-300K,7th-8th,<8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>40,United-States,0
20-29,Private,200K-300K,Some-college,>=10,Never-married,Handlers-cleaners,Not-in-family,White,Male,<35,United-States,0
30-39,Self-emp-not-inc,>300K,Bachelors,>=10,Married-civ-spouse,Sales,Husband,White,Male,>40,United-States,1
40-49,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Sales,Husband,White,Male,>40,United-States,1
30-39,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,35-40,United-States,1
50-59,Self-emp-not-inc,100K-200K,HS-grad,8--9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
20-29,Private,100K-200K,11th,<8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>40,United-States,0
30-39,Private,>300K,Assoc-voc,>=10,Married-civ-spouse,Sales,Husband,White,Male,35-40,United-States,1
30-39,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>40,United-States,0
40-49,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
40-49,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
40-49,Local-gov,100K-200K,HS-grad,8--9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,0
40-49,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
20-29,Private,>300K,HS-grad,8--9,Never-married,Adm-clerical,Not-in-family,White,Female,<35,United-States,0
30-39,State-gov,100K-200K,10th,<8,Married-civ-spouse,Adm-clerical,Husband,White,Male,35-40,United-States,0
30-39,Private,200K-300K,HS-grad,8--9,Married-civ-spouse,Other-service,Husband,Black,Male,<35,United-States,0
20-29,Private,100K-200K,Some-college,>=10,Never-married,Handlers-cleaners,Own-child,White,Male,35-40,United-States,0
20-29,Private,<100K,HS-grad,8--9,Married-civ-spouse,Transport-moving,Husband,White,Male,>40,United-States,1
<20,Private,100K-200K,HS-grad,8--9,Never-married,Sales,Own-child,White,Female,<35,United-States,0
50-59,Private,<100K,Bachelors,>=10,Married-civ-spouse,Tech-support,Husband,White,Male,35-40,United-States,1
20-29,Private,<100K,HS-grad,8--9,Never-married,Other-service,Not-in-family,Black,Female,>40,United-States,0
20-29,Private,100K-200K,Some-college,>=10,Never-married,Priv-house-serv,Own-child,White,Female,35-40,United-States,0
30-39,Private,100K-200K,Assoc-voc,>=10,Divorced,Tech-support,Own-child,White,Male,35-40,United-States,0
20-29,Federal-gov,<100K,Bachelors,>=10,Never-married,Prof-specialty,Own-child,Black,Female,35-40,United-States,0
20-29,Private,>300K,5th-6th,<8,Married-civ-spouse,Other-service,Husband,White,Male,35-40,Mexico,0
30-39,Private,100K-200K,Assoc-voc,>=10,Never-married,Exec-managerial,Not-in-family,Black,Female,35-40,England,0
20-29,Private,100K-200K,12th,8--9,Never-married,Machine-op-inspct,Own-child,White,Male,>40,United-States,0
50-59,Private,200K-300K,HS-grad,8--9,Divorced,Prof-specialty,Unmarried,Black,Female,35-40,United-States,0
40-49,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
20-29,Private,200K-300K,Bachelors,>=10,Never-married,Prof-specialty,Own-child,White,Male,35-40,United-States,0
20-29,Private,100K-200K,HS-grad,8--9,Divorced,Sales,Unmarried,White,Female,<35,United-States,0
50-59,Private,100K-200K,HS-grad,8--9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,>40,United-States,0
<20,Private,>300K,HS-grad,8--9,Never-married,Handlers-cleaners,Own-child,White,Male,35-40,United-States,0
>=60,Private,100K-200K,Bachelors,>=10,Widowed,Other-service,Not-in-family,White,Female,<35,United-States,0
20-29,Private,200K-300K,9th,<8,Never-married,Sales,Not-in-family,White,Male,35-40,United-States,0
20-29,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,35-40,United-States,0
20-29,State-gov,<100K,Some-college,>=10,Never-married,Tech-support,Own-child,White,Female,>40,United-States,0
40-49,Private,<100K,Prof-school,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>40,United-States,1
20-29,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Adm-clerical,Husband,White,Male,35-40,United-States,1
20-29,Private,200K-300K,HS-grad,8--9,Never-married,Adm-clerical,Own-child,White,Female,35-40,United-States,0
30-39,Self-emp-not-inc,100K-200K,Prof-school,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>40,United-States,1
40-49,State-gov,200K-300K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,35-40,United-States,1
30-39,Private,200K-300K,Prof-school,>=10,Never-married,Prof-specialty,Not-in-family,White,Male,>40,United-States,0
40-49,Private,200K-300K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,Other,Male,35-40,United-States,0
20-29,Private,100K-200K,Assoc-voc,>=10,Married-civ-spouse,Farming-fishing,Husband,White,Male,35-40,United-States,1
40-49,Private,100K-200K,9th,<8,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,>40,China,0
50-59,Private,100K-200K,HS-grad,8--9,Never-married,Other-service,Not-in-family,Black,Male,35-40,Haiti,0
30-39,State-gov,<100K,12th,8--9,Never-married,Adm-clerical,Not-in-family,Black,Female,35-40,United-States,0
50-59,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
50-59,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35-40,United-States,0
30-39,Self-emp-not-inc,200K-300K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,>40,Puerto-Rico,1
50-59,Private,200K-300K,Some-college,>=10,Separated,Adm-clerical,Not-in-family,White,Female,35-40,United-States,0
50-59,Private,<100K,Assoc-voc,>=10,Married-civ-spouse,Transport-moving,Husband,White,Male,<35,United-States,0
30-39,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Sales,Husband,White,Male,>40,United-States,0
20-29,Private,100K-200K,Assoc-voc,>=10,Never-married,Adm-clerical,Own-child,White,Female,>40,United-States,0
20-29,Private,200K-300K,Some-college,>=10,Never-married,Prof-specialty,Own-child,White,Female,>40,United-States,0
20-29,Private,>300K,Assoc-acdm,>=10,Never-married,Adm-clerical,Not-in-family,White,Male,35-40,United-States,0
30-39,Self-emp-inc,200K-300K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
20-29,Self-emp-not-inc,200K-300K,10th,<8,Never-married,Machine-op-inspct,Own-child,White,Male,35-40,United-States,0
20-29,Private,200K-300K,Assoc-voc,>=10,Never-married,Other-service,Other-relative,Black,Male,35-40,United-States,0
>=60,State-gov,<100K,HS-grad,8--9,Widowed,Adm-clerical,Not-in-family,White,Female,35-40,United-States,0
>=60,Private,200K-300K,HS-grad,8--9,Married-civ-spouse,Protective-serv,Husband,White,Male,<35,United-States,0
50-59,Private,100K-200K,Bachelors,>=10,Divorced,Exec-managerial,Not-in-family,White,Male,>40,United-States,1
30-39,Private,<100K,Assoc-voc,>=10,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
40-49,Private,<100K,Some-college,>=10,Divorced,Machine-op-inspct,Not-in-family,White,Male,35-40,United-States,0
30-39,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Other-service,Husband,Black,Male,35-40,United-States,0
30-39,Private,100K-200K,HS-grad,8--9,Never-married,Other-service,Not-in-family,White,Male,35-40,United-States,0
30-39,Private,<100K,Some-college,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,0
30-39,Private,100K-200K,10th,<8,Never-married,Adm-clerical,Unmarried,White,Female,35-40,United-States,0
50-59,Private,200K-300K,Masters,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,35-40,United-States,1
20-29,Private,200K-300K,HS-grad,8--9,Never-married,Adm-clerical,Unmarried,White,Male,35-40,United-States,0
50-59,Self-emp-inc,100K-200K,Some-college,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
20-29,Local-gov,>300K,10th,<8,Never-married,Other-service,Not-in-family,White,Male,35-40,United-States,0
20-29,State-gov,200K-300K,Some-college,>=10,Married-civ-spouse,Protective-serv,Husband,White,Male,35-40,United-States,0
20-29,Private,200K-300K,11th,<8,Married-civ-spouse,Transport-moving,Husband,White,Male,35-40,United-States,0
30-39,Local-gov,<100K,Masters,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,35-40,Germany,0
20-29,Private,200K-300K,Bachelors,>=10,Never-married,Sales,Not-in-family,White,Male,35-40,United-States,0
20-29,Private,100K-200K,10th,<8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>40,United-States,0
20-29,Private,200K-300K,HS-grad,8--9,Never-married,Machine-op-inspct,Not-in-family,White,Male,35-40,United-States,0
30-39,Self-emp-not-inc,<100K,Assoc-acdm,>=10,Married-civ-spouse,Adm-clerical,Wife,White,Female,35-40,United-States,1
>=60,Private,200K-300K,Some-college,>=10,Divorced,Adm-clerical,Unmarried,White,Female,35-40,United-States,0
>=60,Self-emp-not-inc,100K-200K,Some-college,>=10,Never-married,Sales,Not-in-family,White,Female,<35,United-States,0
30-39,Private,200K-300K,Bachelors,>=10,Never-married,Farming-fishing,Not-in-family,White,Male,35-40,United-States,0
40-49,Private,100K-200K,Masters,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
30-39,Private,>300K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
50-59,Self-emp-not-inc,200K-300K,Masters,>=10,Married-civ-spouse,Sales,Husband,White,Male,>40,United-States,1
20-29,State-gov,100K-200K,Bachelors,>=10,Never-married,Prof-specialty,Not-in-family,White,Male,35-40,United-States,0
40-49,Private,<100K,Bachelors,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,35-40,United-States,0
<20,State-gov,>300K,Some-college,>=10,Never-married,Prof-specialty,Own-child,White,Male,<35,United-States,0
20-29,Private,<100K,Some-college,>=10,Never-married,Transport-moving,Not-in-family,White,Male,>40,United-States,0
40-49,Federal-gov,100K-200K,Some-college,>=10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,35-40,United-States,1
40-49,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Sales,Other-relative,White,Male,35-40,United-States,0
30-39,Private,<100K,Bachelors,>=10,Divorced,Exec-managerial,Not-in-family,White,Male,35-40,United-States,0
20-29,Private,200K-300K,HS-grad,8--9,Never-married,Other-service,Not-in-family,White,Male,35-40,United-States,0
20-29,Private,>300K,Some-college,>=10,Never-married,Craft-repair,Own-child,White,Female,>40,United-States,0
20-29,Private,200K-300K,10th,<8,Never-married,Handlers-cleaners,Other-relative,Other,Male,35-40,United-States,0
20-29,Private,100K-200K,Masters,>=10,Divorced,Sales,Own-child,White,Female,35-40,United-States,0
20-29,Private,>300K,HS-grad,8--9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,35-40,United-States,0
30-39,Private,100K-200K,11th,<8,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
30-39,Private,200K-300K,HS-grad,8--9,Never-married,Other-service,Unmarried,Black,Female,35-40,United-States,0
50-59,Private,>300K,Bachelors,>=10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,35-40,United-States,1
30-39,Self-emp-not-inc,200K-300K,HS-grad,8--9,Married-civ-spouse,Farming-fishing,Husband,White,Male,>40,United-States,0
<20,Private,100K-200K,Some-college,>=10,Never-married,Sales,Own-child,White,Male,35-40,United-States,0
>=60,Private,100K-200K,Doctorate,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>40,United-States,1
40-49,Private,100K-200K,10th,<8,Never-married,Handlers-cleaners,Unmarried,White,Male,>40,United-States,0
<20,Self-emp-inc,100K-200K,HS-grad,8--9,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,<35,India,0
20-29,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
40-49,Private,200K-300K,Masters,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
50-59,Self-emp-not-inc,<100K,Masters,>=10,Divorced,Prof-specialty,Unmarried,White,Male,>40,United-States,1
40-49,Private,100K-200K,Some-college,>=10,Divorced,Adm-clerical,Not-in-family,White,Male,35-40,United-States,0
20-29,State-gov,<100K,Some-college,>=10,Never-married,Other-service,Own-child,White,Female,<35,United-States,0
30-39,Local-gov,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,>40,United-States,1
50-59,Private,>300K,5th-6th,<8,Never-married,Other-service,Not-in-family,White,Male,35-40,Cuba,0
30-39,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Sales,Husband,White,Male,35-40,United-States,0
>=60,Private,100K-200K,11th,<8,Married-civ-spouse,Sales,Husband,White,Male,<35,United-States,0
20-29,Private,200K-300K,Assoc-voc,>=10,Never-married,Adm-clerical,Not-in-family,White,Female,35-40,United-States,0
>=60,Private,200K-300K,HS-grad,8--9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35-40,United-States,1
50-59,Self-emp-not-inc,100K-200K,7th-8th,<8,Married-civ-spouse,Farming-fishing,Husband,White,Male,>40,United-States,0
20-29,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,35-40,United-States,0
40-49,Local-gov,100K-200K,Prof-school,>=10,Never-married,Prof-specialty,Not-in-family,White,Male,35-40,United-States,1
30-39,Private,200K-300K,Masters,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,El-Salvador,1
20-29,Private,<100K,HS-grad,8--9,Never-married,Sales,Own-child,White,Female,35-40,United-States,0
40-49,Federal-gov,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,1
20-29,Private,<100K,HS-grad,8--9,Never-married,Adm-clerical,Not-in-family,Black,Female,<35,United-States,0
30-39,State-gov,100K-200K,HS-grad,8--9,Married-civ-spouse,Protective-serv,Husband,White,Male,35-40,United-States,0
20-29,Private,>300K,HS-grad,8--9,Never-married,Adm-clerical,Unmarried,White,Female,<35,United-States,0
50-59,Private,100K-200K,HS-grad,8--9,Divorced,Transport-moving,Not-in-family,White,Male,35-40,United-States,0
50-59,Private,<100K,Some-college,>=10,Married-civ-spouse,Sales,Wife,White,Female,35-40,United-States,0
20-29,Private,100K-200K,HS-grad,8--9,Never-married,Sales,Not-in-family,White,Female,<35,United-States,0
20-29,Private,200K-300K,11th,<8,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,0
20-29,Private,100K-200K,HS-grad,8--9,Never-married,Handlers-cleaners,Not-in-family,White,Male,>40,United-States,0
30-39,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,>40,United-States,0
30-39,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Other-service,Wife,White,Female,<35,United-States,0
30-39,Local-gov,200K-300K,Bachelors,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,35-40,United-States,0
40-49,Local-gov,100K-200K,Masters,>=10,Never-married,Prof-specialty,Not-in-family,White,Female,35-40,United-States,0
>=60,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Sales,Husband,White,Male,<35,United-States,0
30-39,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Other-service,Wife,White,Female,35-40,United-States,1
50-59,Local-gov,100K-200K,Bachelors,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,35-40,United-States,1
30-39,Self-emp-not-inc,<100K,Assoc-voc,>=10,Never-married,Craft-repair,Not-in-family,White,Male,35-40,United-States,0
30-39,Private,100K-200K,Some-college,>=10,Widowed,Exec-managerial,Not-in-family,White,Female,35-40,United-States,1
30-39,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Craft-repair,Husband,White,Male,35-40,United-States,0
20-29,Private,200K-300K,Some-college,>=10,Never-married,Prof-specialty,Own-child,White,Female,<35,United-States,0
20-29,Private,200K-300K,Some-college,>=10,Never-married,Adm-clerical,Not-in-family,White,Male,35-40,United-States,0
30-39,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,35-40,United-States,1
<20,Private,100K-200K,Some-college,>=10,Never-married,Sales,Own-child,White,Female,<35,United-States,0
20-29,Private,100K-200K,11th,<8,Never-married,Exec-managerial,Unmarried,White,Female,>40,United-States,0
20-29,Private,100K-200K,Some-college,>=10,Never-married,Adm-clerical,Own-child,White,Female,35-40,Nicaragua,0
30-39,Private,100K-200K,Assoc-voc,>=10,Married-civ-spouse,Adm-clerical,Husband,White,Male,35-40,United-States,1
30-39,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,1
50-59,Private,>300K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,>40,United-States,1
30-39,Local-gov,200K-300K,Masters,>=10,Widowed,Prof-specialty,Not-in-family,White,Female,35-40,United-States,0
40-49,Private,100K-200K,Some-college,>=10,Married-civ-spouse,Sales,Husband,White,Male,>40,United-States,1
30-39,Private,200K-300K,11th,<8,Separated,Machine-op-inspct,Other-relative,White,Male,<35,United-States,0
30-39,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>40,United-States,1
40-49,Private,100K-200K,Assoc-voc,>=10,Never-married,Tech-support,Not-in-family,White,Male,35-40,United-States,0
30-39,Private,<100K,HS-grad,8--9,Married-civ-spouse,Craft-repair,Husband,White,Male,>40,United-States,0
30-39,Private,<100K,Some-college,>=10,Married-civ-spouse,Other-service,Husband,White,Male,35-40,United-States,1
20-29,Private,100K-200K,HS-grad,8--9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,35-40,United-States,0
20-29,Private,>300K,Bachelors,>=10,Never-married,Exec-managerial,Not-in-family,White,Male,35-40,United-States,0
40-49,Self-emp-not-inc,200K-300K,Some-college,>=10,Married-civ-spouse,Other-service,Husband,White,Male,35-40,United-States,1
40-49,Private,200K-300K,HS-grad,8--9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,35-40,United-States,0
30-39,Private,200K-300K,Some-college,>=10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>40,United-States,0
20-29,Private,>300K,Some-college,>=10,Never-married,Adm-clerical,Unmarried,White,Male,35-40,United-States,0
30-39,State-gov,<100K,Doctorate,>=10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>40,United-States,1
20-29,Private,200K-300K,Bachelors,>=10,Never-married,Prof-specialty,Not-in-family,White,Male,35-40,United-States,0
40-49,Private,100K-200K,HS-grad,8--9,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,35-40,United-States,0
40-49,Private,100K-200K,Bachelors,>=10,Married-civ-spouse,Sales,Husband,White,Male,35-40,United-States,1
